name,ring,quadrant,isNew,description
Spring Boot,Standard,Langages & Frameworks,FALSE,"<a href=""https://wiki.net-courrier.extra.laposte.fr/confluence/display/RFLX/SO-27+Spring+Cloud"">Fiche #Reflex</a>"
.Net,Candidat,Langages & Frameworks,FALSE,"<a href=""https://wiki.net-courrier.extra.laposte.fr/confluence/pages/viewpage.action?pageId=228917366"">Fiche #Reflex</a>"
BackboneJS,A l'étude,Langages & Frameworks,FALSE,Pas de fiche #Reflex
Drupal,Standard,Langages & Frameworks,FALSE,"<a href=""https://wiki.net-courrier.extra.laposte.fr/confluence/display/RFLX/SO-13+Drupal"">Fiche #Reflex</a>"
Symfony,Déprécié,Langages & Frameworks,FALSE,"<a href=""https://wiki.net-courrier.extra.laposte.fr/confluence/pages/viewpage.action?pageId=216894767"">Fiche #Reflex</a>"
Angular,Standard,Langages & Frameworks,FALSE,"<a href=""https://wiki.net-courrier.extra.laposte.fr/confluence/display/RFLX/SO-24+Angular"">Fiche #Reflex</a>"
Spring Cloud,Standard,Langages & Frameworks,FALSE,"<a href=""https://wiki.net-courrier.extra.laposte.fr/confluence/display/RFLX/SO-27+Spring+Cloud"">Fiche #Reflex</a>"
Cadre de développement Java,Standard,Langages & Frameworks,FALSE,"<a href=""https://wiki.net-courrier.extra.laposte.fr/confluence/pages/viewpage.action?pageId=287086365"">Fiche #Reflex</a>"
Cadre de développement Big Data,Standard,Langages & Frameworks,FALSE,"<a href=""https://wiki.net-courrier.extra.laposte.fr/confluence/pages/viewpage.action?pageId=307333617"">Fiche #Reflex</a>"
Java OpenJDK,Standard,Langages & Frameworks,FALSE,"<a href=""https://wiki.net-courrier.extra.laposte.fr/confluence/display/RFLX/SO-49+Java+OpenJDK"">Fiche #Reflex</a>"
Zack (PHP),Déprécié,Langages & Frameworks,FALSE,"<a href=""https://wiki.net-courrier.extra.laposte.fr/confluence/pages/viewpage.action?pageId=181318452"">Fiche #Reflex</a>"
Loadrunner,Déprécié,Outils,FAUX,"<a href=""https://wiki.net-courrier.extra.laposte.fr/confluence/display/RFLX/SO-66+Loadrunner"">Fiche #Reflex</a>"
Gatling,Standard,Outils,FAUX,"<a href=""https://wiki.net-courrier.extra.laposte.fr/confluence/display/RFLX/SO-74+Gatling"">Fiche #Reflex</a>"
Dataiku,Candidat,Outils,FALSE,"<a href=""https://wiki.net-courrier.extra.laposte.fr/confluence/display/RFLX/SO-06+Dataiku"">Fiche #Reflex</a>"
Jenkins,Standard,Outils,FAUX,"<a href=""https://wiki.net-courrier.extra.laposte.fr/confluence/display/RFLX/SO-64+Jenkins"">Fiche #Reflex</a>"
Gitlab,Standard,Outils,FAUX,"<a href=""https://wiki.net-courrier.extra.laposte.fr/confluence/display/RFLX/SO-56+GITLAB"">Fiche #Reflex</a>"
Maven,Standard,Outils,FAUX,"<a href=""https://wiki.net-courrier.extra.laposte.fr/confluence/display/RFLX/SO-65+Maven"">Fiche #Reflex</a>"
Confluence,Standard,Outils,FAUX,"<a href=""https://wiki.net-courrier.extra.laposte.fr/confluence/display/RFLX/SO-57+Confluence"">Fiche #Reflex</a>"
Jira,Standard,Outils,FAUX,"<a href=""https://wiki.net-courrier.extra.laposte.fr/confluence/display/RFLX/SO-58+JIRA"">Fiche #Reflex</a>"
Zephyr,Standard,Outils,FAUX,"<a href=""https://wiki.net-courrier.extra.laposte.fr/confluence/display/RFLX/SO-59+Zephyr"">Fiche #Reflex</a>"
Alm QC,Standard,Outils,FAUX,"<a href=""https://wiki.net-courrier.extra.laposte.fr/confluence/display/RFLX/SO-60+ALM+QC"">Fiche #Reflex</a>"
Tanaguru,Standard,Outils,FAUX,"<a href=""https://wiki.net-courrier.extra.laposte.fr/confluence/display/RFLX/SO-61+Tanaguru"">Fiche #Reflex</a>"
Crowd,Standard,Outils,FAUX,"<a href=""https://wiki.net-courrier.extra.laposte.fr/confluence/display/RFLX/SO-62+Crowd"">Fiche #Reflex</a>"
SonarQube,Standard,Outils,FAUX,"<a href=""https://wiki.net-courrier.extra.laposte.fr/confluence/display/RFLX/SO-63+SonarQube"">Fiche #Reflex</a>"
VTOM,Standard,Outils,FAUX,"<a href=""https://wiki.net-courrier.extra.laposte.fr/confluence/display/RFLX/SO-79+VTOM"">Fiche #Reflex</a>"
Rubrik,A l'étude,Outils,FAUX,"<a href=""https://wiki.net-courrier.extra.laposte.fr/confluence/display/RFLX/SO-96+Rubrik"">Fiche #Reflex</a>"
Newtest,Standard,Outils,FALSE,"<a href=""https://wiki.net-courrier.extra.laposte.fr/confluence/display/RFLX/SO-78+Newtest"">Fiche #Reflex</a>"
Centreon,Standard,Outils,FALSE,"<a href=""https://wiki.net-courrier.extra.laposte.fr/confluence/display/RFLX/SO-76+Centreon"">Fiche #Reflex</a>"
Visual BAM,Standard,Outils,FAUX,"<a href=""https://wiki.net-courrier.extra.laposte.fr/confluence/display/RFLX/SO-90+Visual+BAM"">Fiche #Reflex</a>"
Grafana,Standard,Outils,FAUX,"<a href=""https://wiki.net-courrier.extra.laposte.fr/confluence/display/RFLX/SO-82+Grafana"">Fiche #Reflex</a>"
Jaeger,A l'étude,Outils,VRAI,"<a href=""https://wiki.net-courrier.extra.laposte.fr/confluence/display/RFLX/SO-83+Jaeger"">Fiche #Reflex</a>"
Cache Http (Varnish),Standard,Plateformes et middleware,FALSE,"<a href=""https://wiki.net-courrier.extra.laposte.fr/confluence/pages/viewpage.action?pageId=262214283"">Fiche #Reflex</a>"
Consul,Candidat,Plateformes et middleware,VRAI,"<a href=""https://wiki.net-courrier.extra.laposte.fr/confluence/pages/viewpage.action?pageId=395875421"">Fiche #Reflex</a>"
Istio,A l'étude,Plateformes et middleware,FAUX,"<a href=""https://wiki.net-courrier.extra.laposte.fr/confluence/display/RFLX/SO-95+Istio"">Fiche #Reflex</a>"
Apache,Standard,Plateformes et middleware,FALSE,"<a href=""https://wiki.net-courrier.extra.laposte.fr/confluence/display/RFLX/SO-46+Apache"">Fiche #Reflex</a>"
IIS,Standard,Plateformes et middleware,FALSE,"<a href=""https://wiki.net-courrier.extra.laposte.fr/confluence/display/RFLX/SO-54+IIS"">Fiche #Reflex</a>"
Websphere AS,Déprécié,Plateformes et middleware,FALSE,"<a href=""https://wiki.net-courrier.extra.laposte.fr/confluence/display/RFLX/SO-14+WAS"">Fiche #Reflex</a>"
JBoss AS,Standard,Plateformes et middleware,FALSE,"<a href=""https://wiki.net-courrier.extra.laposte.fr/confluence/display/RFLX/SO-15+JBOSS"">Fiche #Reflex</a>"
NodeJS,Candidat,Plateformes et middleware,FALSE,"<a href=""https://wiki.net-courrier.extra.laposte.fr/confluence/display/RFLX/SO-07+NodeJS"">Fiche #Reflex</a>"
Apache PHP,Standard,Plateformes et middleware,FALSE,"<a href=""https://wiki.net-courrier.extra.laposte.fr/confluence/display/RFLX/SO-47+Apache-Php"">Fiche #Reflex</a>"
Spark Streaming,Candidat,Plateformes et middleware,FAUX,"<a href=""https://wiki.net-courrier.extra.laposte.fr/confluence/display/RFLX/SO-20+Spark+Streaming"">Fiche #Reflex</a>"
MySQL,Standard,Plateformes et middleware,VRAI,"<a href=""https://wiki.net-courrier.extra.laposte.fr/confluence/display/RFLX/SO-09+MySQL"">Fiche #Reflex</a>"
SQL Server,Standard,Plateformes et middleware,FAUX,"<a href=""https://wiki.net-courrier.extra.laposte.fr/confluence/display/RFLX/SO-10+SQL+Server"">Fiche #Reflex</a>"
Oracle DB,Standard,Plateformes et middleware,FALSE,"<a href=""https://wiki.net-courrier.extra.laposte.fr/confluence/display/RFLX/SO-08+Oracle+DB"">Fiche #Reflex</a>"
Oracle Exadata,Déprécié,Plateformes et middleware,FALSE,"<a href=""https://wiki.net-courrier.extra.laposte.fr/confluence/display/RFLX/SO-50+Oracle+Exadata"">Fiche #Reflex</a>"
PostgreSQL,A l'étude,Plateformes et middleware,FALSE,"<a href=""https://wiki.net-courrier.extra.laposte.fr/confluence/display/RFLX/SO-55+PostgreSQL"">Fiche #Reflex</a>"
SAP Hana,Standard,Plateformes et middleware,FAUX,"<a href=""https://wiki.net-courrier.extra.laposte.fr/confluence/display/RFLX/SO-11+SAP+Hana"">Fiche #Reflex</a>"
Elasticsearch,Standard,Plateformes et middleware,FALSE,"<a href=""https://wiki.net-courrier.extra.laposte.fr/confluence/display/RFLX/SO-25+Elasticsearch"">Fiche #Reflex</a>"
Cassandra,Standard,Plateformes et middleware,FAUX,"<a href=""https://wiki.net-courrier.extra.laposte.fr/confluence/display/RFLX/SO-52+Cassandra"">Fiche #Reflex</a>"
Datastax DSE,Déprécié,Plateformes et middleware,FALSE,"<a href=""https://wiki.net-courrier.extra.laposte.fr/confluence/display/RFLX/SO-31+Datastax+DSE"">Fiche #Reflex</a>"
CouchBase,A l'étude,Plateformes et middleware,FALSE,"<a href=""https://wiki.net.extra.laposte.fr/confluence/display/RFLX/SO-93+Couchbase"">Fiche #Reflex</a>"
CouchDB,A l'étude,Plateformes et middleware,TRUE,"<a href=""https://wiki.net.extra.laposte.fr/confluence/display/RFLX/SO-97+CouchDB"">Fiche #Reflex</a>"
Offre de stockage objets sur Cloud Public - OVH,Déprécié,Plateformes et middleware,VRAI,"<a href=""https://wiki.net-courrier.extra.laposte.fr/confluence/display/RFLX/SO-84+Offre+de+Cloud+Public+-+OVH"">Fiche #Reflex</a>"
Offre de stockage objets sur ITaaS,Standard,Plateformes et middleware,VRAI,"<a href=""https://wiki.net-courrier.extra.laposte.fr/confluence/display/RFLX/SO-88+Offre+de+Stockage+Objets+sur+ITaaS"">Fiche #Reflex</a>"
Offre de stockage standard,Standard,Plateformes et middleware,VRAI,"<a href=""https://wiki.net.extra.laposte.fr/confluence/display/RFLX/SO-87+Offre+de+stockage+standard"">Fiche #Reflex</a>"
GlusterFS,Standard,Plateformes et middleware,FAUX,"<a href=""https://wiki.net-courrier.extra.laposte.fr/confluence/display/RFLX/SO-85+GlusterFS"">Fiche #Reflex</a>"
Okoro,Standard,Plateformes et middleware,FAUX,"<a href=""https://wiki.net-courrier.extra.laposte.fr/confluence/display/RFLX/SO-86+Okoro"">Fiche #Reflex</a>"
Vault,Candidat,Plateformes et middleware,FAUX,"<a href=""https://wiki.net-courrier.extra.laposte.fr/confluence/display/RFLX/SO-91+Vault"">Fiche #Reflex</a>"
SolarCloud,Déprécié,Plateformes et middleware,FALSE,"<a href=""https://wiki.net-courrier.extra.laposte.fr/confluence/display/RFLX/SO-05+SolrCloud"">Fiche #Reflex</a>"
JBoss Fuse IS,Standard,Plateformes et middleware,FALSE,"<a href=""https://wiki.net-courrier.extra.laposte.fr/confluence/display/RFLX/SO-51+JBOSS+Fuse+IS"">Fiche #Reflex</a>"
Talend,Candidat,Plateformes et middleware,FAUX,"<a href=""https://wiki.net-courrier.extra.laposte.fr/confluence/display/RFLX/SO-42+Talend"">Fiche #Reflex</a>"
Informatica Powercenter,Standard,Plateformes et middleware,FALSE,"<a href=""https://wiki.net-courrier.extra.laposte.fr/confluence/display/RFLX/SO-43+Informatica+PowerCenter"">Fiche #Reflex</a>"
Tibco BusinessEvents,Candidat,Plateformes et middleware,FAUX,"<a href=""https://wiki.net-courrier.extra.laposte.fr/confluence/display/RFLX/SO-44+Tibco+BusinessEvents"">Fiche #Reflex</a>"
Kafka Connect,Standard,Plateformes et middleware,FALSE,"<a href=""https://wiki.net-courrier.extra.laposte.fr/confluence/display/RFLX/SO-45+Kafka+Connect"">Fiche #Reflex</a>"
